Bahia - Mapa de Pobreza e Desigualdade - Municípios Brasileiros: Incidência da Pobreza

Cidade;%
Ouriçangas;36,63
Ourolândia;55,06
Palmas de Monte Alto;46,35
Palmeiras;32,76
Paramirim;35,68
Paratinga;35,79
Paripiranga;49,03
Pau Brasil;52,07
Paulo Afonso;42,01
Pé de Serra;28,85
Pedrão;38,27
Pedro Alexandre;48,22
Piatã;25,85
Pilão Arcado;55,98
Pindaí;51,68
Pindobaçu;51,24
Pintadas;27,27
Piraí do Norte;50,73
Piripá;43,13
Piritiba;44,10
Planaltino;57,17
Planalto;44,53
Poções;52,14
Pojuca;46,20
Ponto Novo;54,68
Porto Seguro;52,17
Potiraguá;57,13
Prado;45,96
Presidente Dutra;44,55
Presidente Jânio Quadros;47,48
Presidente Tancredo Neves;50,37
Queimadas;42,31
Quijingue;50,44
Quixabeira;25,37
Rafael Jambeiro;38,07
Remanso;41,87
Retirolândia;33,94
Riachão das Neves;54,12
Riachão do Jacuípe;31,24
Riacho de Santana;41,03
Ribeira do Amparo;43,49
Ribeira do Pombal;40,73
Ribeirão do Largo;44,40
Rio de Contas;35,02
Rio do Antônio;33,05
Rio do Pires;41,40
Rio Real;48,73
Rodelas;38,93
Ruy Barbosa;47,78
Salinas da Margarida;39,39
Salvador;35,76
Santa Bárbara;29,77
Santa Brígida;28,22
Santa Cruz Cabrália;42,66
Santa Cruz da Vitória;62,96
Santa Inês;51,92
Santaluz;47,71
Santa Luzia;60,16
Santa Maria da Vitória;50,89
Santana;46,96
Santanópolis;14,08
Santa Rita de Cássia;50,16
Santa Teresinha;47,18
Santo Amaro;42,27
Santo Antônio de Jesus;42,87
Santo Estêvão;38,58
São Desidério;51,65
São Domingos;29,36
São Félix;53,44
São Félix do Coribe;41,11
São Felipe;36,76
São Francisco do Conde;55,02
São Gabriel;51,29
São Gonçalo dos Campos;41,40
São José da Vitória;65,86
São José do Jacuípe;48,41
São Miguel das Matas;34,11
São Sebastião do Passé;44,99
Sapeaçu;46,13
Sátiro Dias;37,40
Saubara;45,50
Saúde;45,99
Seabra;32,67
Sebastião Laranjeiras;45,76
Senhor do Bonfim;40,59
Serra do Ramalho;35,79
Sento Sé;52,46
Serra Dourada;33,23
